Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var19654            Pav19654            3.19             3.40
Var19655            Pav19655            2.71             2.20
Var19658            Pav19658            3.99             4.20
Var19663            Pav19663            4.17             3.80
Var19665            Pav19665            3.08             3.40
Var19666            Pav19666            4.09             3.80
Var19668            Pav19668            2.76             2.20
Var19669            Pav19669            4.60             4.60
Var19673            Pav19673            4.53             4.40
Var19675            Pav19675            2.68             2.60
Var19677            Pav19677            2.96             2.80
Var1968             Pav1968             2.91             2.80
Var19680            Pav19680            4.39             5.00
Var19685            Pav19685            2.57             2.60
Var19686            Pav19686            4.15             4.20
Var19688            Pav19688            4.40             4.40
Var19689            Pav19689            4.60             4.60
Var1969             Pav1969             2.57             1.80
Var19690            Pav19690            4.61             4.40
Var19693            Pav19693            3.93             3.80
Var19694            Pav19694            4.24             4.40
Var19696            Pav19696            4.67             4.80
Var19697            Pav19697            4.96             5.20
Var19698            Pav19698            4.40             4.00
Var19699            Pav19699            3.91             3.80
Var197              Pav197              2.57             1.80
Var1970             Pav1970             3.76             4.00
Var19700            Pav19700            4.95             5.00
Var19703            Pav19703            3.12             3.20
Var19705            Pav19705            3.44             3.20
Var19706            Pav19706            4.52             3.80
Var19707            Pav19707            3.28             3.20
Var1971             Pav1971             3.00             3.40
Var19715            Pav19715            2.23             1.80
Var19716            Pav19716            3.99             4.20
Var19719            Pav19719            2.39             1.80
Var1972             Pav1972             2.73             3.00
Var19720            Pav19720            4.23             4.60
Var19721            Pav19721            4.53             4.80
Var19722            Pav19722            4.95             4.60
Var19723            Pav19723            3.93             3.80
Var19724            Pav19724            4.32             4.00
Var19725            Pav19725            3.39             3.60
Var19728            Pav19728            4.56             4.40
Var19734            Pav19734            2.57             2.60
Var19737            Pav19737            3.23             3.20
Var19739            Pav19739            2.68             2.60
Var1974             Pav1974             3.15             3.20
Var19742            Pav19742            4.92             4.60
Var19743            Pav19743            3.08             3.40
Var19745            Pav19745            4.75             5.20
Var19746            Pav19746            2.68             2.60
Var19748            Pav19748            2.87             3.00
Var19753            Pav19753            3.05             3.40
Var19754            Pav19754            4.91             5.20
Var19755            Pav19755            3.23             3.60
Var19756            Pav19756            4.83             4.80
Var19759            Pav19759            4.36             4.20
Var1976             Pav1976             4.21             3.60
Var19760            Pav19760            4.64             4.80
Var19761            Pav19761            3.41             3.20
Var19762            Pav19762            2.92             3.00
Var19763            Pav19763            3.59             3.80
Var19764            Pav19764            3.72             3.80
Var1977             Pav1977             4.69             4.80
Var19770            Pav19770            4.29             4.00
Var19776            Pav19776            4.13             3.60
Var19778            Pav19778            4.32             4.00
Var19779            Pav19779            3.17             2.80
Var19782            Pav19782            4.89             4.60
Var19783            Pav19783            4.17             4.60
Var19787            Pav19787            3.16             3.00
Var19788            Pav19788            4.91             4.80
Var19790            Pav19790            3.07             3.20
Var19795            Pav19795            3.21             3.40
Var19797            Pav19797            4.93             4.80
Var19798            Pav19798            2.79             2.60
Var1980             Pav1980             4.60             5.00
Var19802            Pav19802            2.76             2.60
Var19803            Pav19803            3.41             4.00
Var19810            Pav19810            3.04             2.80
Var19814            Pav19814            2.84             3.00
Var19815            Pav19815            2.65             2.60
Var19819            Pav19819            4.33             4.60
Var1982             Pav1982             3.96             3.80
Var19820            Pav19820            3.28             2.80
Var19821            Pav19821            4.80             4.40
Var19823            Pav19823            4.83             4.80
Var19824            Pav19824            3.83             3.80
Var19832            Pav19832            4.13             4.40
Var19833            Pav19833            2.81             3.00
Var19835            Pav19835            4.03             4.00
Var19836            Pav19836            4.36             4.20
Var19837            Pav19837            4.72             5.20
Var19838            Pav19838            3.85             3.80
Var19840            Pav19840            4.29             4.00
Var19844            Pav19844            2.57             2.60
Var19847            Pav19847            3.15             3.20
Var19848            Pav19848            4.68             4.20
Var19849            Pav19849            4.85             4.80
Var19851            Pav19851            4.71             4.60
Var19852            Pav19852            4.95             5.00
Var19854            Pav19854            2.44             1.80
Var19856            Pav19856            4.17             4.20
Var19860            Pav19860            4.49             4.20
Var19862            Pav19862            3.36             3.20
Var19865            Pav19865            3.41             3.20
Var19867            Pav19867            4.80             4.80
Var19869            Pav19869            4.65             5.00
Var1987             Pav1987             4.05             3.60
Var19870            Pav19870            3.91             3.80
Var19875            Pav19875            3.17             2.40
Var19876            Pav19876            3.07             3.20
Var19882            Pav19882            4.12             4.20
Var19886            Pav19886            4.67             4.80
Var19887            Pav19887            4.75             4.80
Var1989             Pav1989             4.63             5.00
Var19890            Pav19890            4.59             4.80
Var19892            Pav19892            2.65             3.00
Var19894            Pav19894            3.44             3.60
Var19896            Pav19896            2.81             3.00
Var19900            Pav19900            4.80             5.20
Var19901            Pav19901            4.69             5.20
Var19907            Pav19907            2.89             3.00
Var19908            Pav19908            3.96             4.20
Var1991             Pav1991             4.65             4.20
Var19914            Pav19914            4.59             4.80
Var19916            Pav19916            2.79             3.00
Var19917            Pav19917            4.19             4.00
Var19918            Pav19918            4.67             4.80
Var19920            Pav19920            3.31             3.20
Var19925            Pav19925            4.39             4.60
Var19927            Pav19927            2.89             3.00
Var19928            Pav19928            3.48             4.20
Var1993             Pav1993             2.81             2.60
Var19934            Pav19934            2.84             3.00
Var19938            Pav19938            4.72             5.20
Var19941            Pav19941            4.27             3.60
Var19942            Pav19942            3.33             3.60
Var19944            Pav19944            3.57             4.00
Var19945            Pav19945            2.71             2.60
Var19948            Pav19948            3.88             4.20
Var19949            Pav19949            3.99             3.80
Var1995             Pav1995             4.97             5.00
Var19950            Pav19950            4.77             5.20
Var19951            Pav19951            4.87             4.60
Var19953            Pav19953            3.03             3.40
Var19954            Pav19954            4.23             4.20
Var19956            Pav19956            3.37             3.80
Var19962            Pav19962            2.25             2.20
Var19964            Pav19964            3.71             3.60
Var19969            Pav19969            3.01             2.40
Var1997             Pav1997             3.31             2.80
Var19976            Pav19976            2.81             3.00
Var19979            Pav19979            2.97             3.00
Var19980            Pav19980            4.27             4.00
Var19986            Pav19986            4.37             4.40
Var19988            Pav19988            3.40             3.40
Var1999             Pav1999             2.96             3.20
Var19991            Pav19991            3.57             3.20
Var19998            Pav19998            3.20             3.20
Var19999            Pav19999            4.36             4.60
Var2000             Pav2000             4.72             4.80
Var20003            Pav20003            3.01             3.20
Var20004            Pav20004            3.32             3.40
Var20006            Pav20006            4.73             4.60
Var20009            Pav20009            2.96             2.80
Var2001             Pav2001             3.00             3.00
Var20010            Pav20010            3.05             3.40
Var20014            Pav20014            3.99             3.80
Var20015            Pav20015            2.44             2.20
Var20016            Pav20016            2.79             3.40
Var20018            Pav20018            2.31             2.20
Var20019            Pav20019            3.89             4.00
Var20021            Pav20021            4.87             4.60
Var20022            Pav20022            2.79             2.60
Var20024            Pav20024            3.77             3.80
Var20025            Pav20025            3.80             4.20
Var20026            Pav20026            4.57             3.80
Var20027            Pav20027            3.95             3.60
Var20032            Pav20032            3.64             3.40
Var20034            Pav20034            3.96             3.80
Var20036            Pav20036            3.79             3.60
Var2004             Pav2004             3.52             3.60
Var20040            Pav20040            3.29             3.80
Var20041            Pav20041            3.36             3.20
Var20042            Pav20042            4.07             3.80
Var20047            Pav20047            4.72             5.20
Var20048            Pav20048            4.20             4.60
Var20049            Pav20049            3.36             3.60
Var2005             Pav2005             3.72             3.40
Var20052            Pav20052            4.15             4.20
Var20053            Pav20053            2.60             2.20
Var20058            Pav20058            2.68             3.00
Var20060            Pav20060            4.27             4.00
Var20061            Pav20061            3.09             3.20
Var20065            Pav20065            4.75             5.20
Var20066            Pav20066            4.47             5.00
Var20068            Pav20068            2.87             2.60
Var20069            Pav20069            3.24             3.40
Var2007             Pav2007             3.73             3.60
Var20072            Pav20072            4.88             4.80
Var20077            Pav20077            3.72             3.80
Var2008             Pav2008             3.20             3.60
Var20085            Pav20085            4.09             3.80
Var20086            Pav20086            4.35             4.00
Var20087            Pav20087            2.81             3.40
Var2009             Pav2009             4.83             4.80
Var20091            Pav20091            3.24             3.80
Var20093            Pav20093            2.85             2.00
Var20094            Pav20094            3.28             3.20
Var20099            Pav20099            3.57             3.60
Var201              Pav201              3.20             2.80
Var20102            Pav20102            4.39             4.20
Var20104            Pav20104            2.71             2.60
Var20109            Pav20109            4.52             4.60
Var2011             Pav2011             3.69             3.40
Var20110            Pav20110            3.93             3.80
Var20112            Pav20112            4.37             4.40
Var20113            Pav20113            4.59             5.20
Var20128            Pav20128            3.31             3.60
Var20130            Pav20130            3.79             3.60
Var20131            Pav20131            3.00             3.00
Var20134            Pav20134            2.60             2.60
Var20135            Pav20135            3.39             3.60
Var20136            Pav20136            4.24             4.00
Var20137            Pav20137            4.29             4.00
Var20138            Pav20138            4.40             4.00
Var20139            Pav20139            3.05             3.40
Var20141            Pav20141            4.15             4.20
Var20149            Pav20149            3.57             4.00
Var20153            Pav20153            2.95             2.60
Var20154            Pav20154            4.69             4.40
Var20155            Pav20155            2.60             2.20
Var20157            Pav20157            4.20             4.60
Var2016             Pav2016             2.92             3.40
Var20160            Pav20160            4.44             4.20
Var20162            Pav20162            4.00             4.00
Var20163            Pav20163            2.76             3.00
Var20165            Pav20165            3.39             3.60
Var20169            Pav20169            4.59             4.00
Var20170            Pav20170            4.20             4.20
Var20172            Pav20172            2.79             2.60
Var20176            Pav20176            4.59             4.80
Var20178            Pav20178            3.01             2.40
Var20181            Pav20181            2.76             2.20
Var20188            Pav20188            3.97             4.40
Var2019             Pav2019             3.13             3.40
Var20190            Pav20190            3.47             3.60
Var20191            Pav20191            3.39             3.20
Var20192            Pav20192            4.89             4.20
Var20193            Pav20193            3.03             3.00
Var20194            Pav20194            3.36             3.20
Var20196            Pav20196            4.63             4.20
Var20197            Pav20197            4.64             4.40
Var202              Pav202              2.81             3.00
Var20203            Pav20203            2.84             3.00
Var2021             Pav2021             4.44             4.20
Var20210            Pav20210            4.72             4.80
Var20211            Pav20211            3.11             3.40
Var20212            Pav20212            4.48             4.40
Var20213            Pav20213            4.35             4.00
Var20216            Pav20216            4.61             4.40
Var20220            Pav20220            3.00             3.00
Var20224            Pav20224            4.97             5.00
Var20225            Pav20225            2.55             2.20
Var20228            Pav20228            2.81             3.00
Var20231            Pav20231            2.41             2.20
Var20233            Pav20233            3.00             3.00
Var20235            Pav20235            3.96             4.20
Var20237            Pav20237            3.49             3.60
Var20238            Pav20238            2.71             2.60
Var20241            Pav20241            4.60             5.00
Var20242            Pav20242            3.03             3.80
Var20243            Pav20243            3.55             3.60
Var20244            Pav20244            4.84             5.00
Var20246            Pav20246            2.57             2.60
Var2025             Pav2025             4.67             4.40
Var20255            Pav20255            2.65             3.00
Var20256            Pav20256            4.24             4.40
Var20257            Pav20257            4.32             4.40
Var20258            Pav20258            2.55             2.20
Var20262            Pav20262            3.60             3.60
Var20264            Pav20264            3.65             3.20
Var20265            Pav20265            3.96             3.80
Var20267            Pav20267            3.51             3.40
Var2027             Pav2027             4.87             4.20
Var20271            Pav20271            3.41             4.00
Var20273            Pav20273            3.80             3.80
Var20275            Pav20275            4.77             5.20
Var20278            Pav20278            4.20             4.20
Var2028             Pav2028             4.92             4.60
Var20280            Pav20280            2.73             3.00
Var20282            Pav20282            2.87             3.00
Var20283            Pav20283            2.99             2.80
Var20289            Pav20289            2.28             1.80
Var2029             Pav2029             4.71             4.20
Var20294            Pav20294            4.89             4.60
Var20295            Pav20295            3.77             3.40
Var20296            Pav20296            3.93             4.20
Var20299            Pav20299            3.41             3.20
Var203              Pav203              2.71             2.60
Var20300            Pav20300            4.85             4.80
Var20301            Pav20301            4.44             3.80
Var20307            Pav20307            4.59             4.80
Var2031             Pav2031             4.53             4.40
Var20311            Pav20311            3.04             2.80
Var20313            Pav20313            4.40             4.40
Var20316            Pav20316            3.65             3.60
Var20317            Pav20317            2.81             2.20
Var2032             Pav2032             3.96             4.20
Var20320            Pav20320            3.00             3.80
Var20323            Pav20323            4.99             5.20
Var20325            Pav20325            4.05             3.60
Var20327            Pav20327            3.41             3.20
Var20331            Pav20331            4.09             4.20
Var20332            Pav20332            3.41             3.20
Var20334            Pav20334            2.57             3.00
Var20336            Pav20336            4.91             5.20
Var20337            Pav20337            4.65             3.80
Var20339            Pav20339            4.91             4.80
Var2034             Pav2034             2.87             3.40
Var20340            Pav20340            2.41             2.20
Var20343            Pav20343            2.76             3.00
Var20345            Pav20345            3.33             3.20
Var20346            Pav20346            4.27             4.40
Var20347            Pav20347            2.57             2.60
Var20349            Pav20349            4.31             4.60
Var2035             Pav2035             2.68             2.20
Var20350            Pav20350            3.87             4.00
Var20358            Pav20358            3.92             4.40
Var20359            Pav20359            4.72             4.40
Var20360            Pav20360            4.37             4.00
Var20366            Pav20366            4.49             4.60
Var20367            Pav20367            3.09             2.40
Var20368            Pav20368            4.44             4.60
Var2037             Pav2037             2.84             2.60
Var20374            Pav20374            3.44             3.60
Var20379            Pav20379            3.28             3.60
Var20382            Pav20382            4.11             4.00
Var20384            Pav20384            4.31             4.20
Var20388            Pav20388            3.87             4.00
Var20390            Pav20390            4.39             5.00
Var20393            Pav20393            4.43             4.40
Var20394            Pav20394            4.56             4.40
Var20397            Pav20397            3.39             3.20
Var20398            Pav20398            4.75             4.80
Var204              Pav204              3.32             3.80
Var20402            Pav20402            3.24             3.40
Var20404            Pav20404            3.47             3.20
Var20405            Pav20405            3.04             2.40
Var2041             Pav2041             4.56             4.80
Var20411            Pav20411            3.21             3.40
Var20418            Pav20418            4.25             4.60
Var2042             Pav2042             2.84             3.00
Var20420            Pav20420            3.19             3.40
Var20421            Pav20421            4.76             4.20
Var20423            Pav20423            2.89             3.40
Var20426            Pav20426            2.68             3.00
Var20427            Pav20427            3.12             2.80
Var20428            Pav20428            4.84             5.00
Var20429            Pav20429            3.17             2.40
Var20434            Pav20434            2.71             2.60
Var20439            Pav20439            3.31             3.20
Var2044             Pav2044             4.91             5.20
Var20440            Pav20440            4.67             4.80
Var20442            Pav20442            3.04             3.20
Var2045             Pav2045             3.69             3.80
Var20456            Pav20456            4.07             3.80
Var20457            Pav20457            4.45             4.40
Var2046             Pav2046             3.48             2.60
Var20462            Pav20462            3.31             3.20
Var20466            Pav20466            2.44             2.20
Var20468            Pav20468            4.56             4.40
Var2047             Pav2047             4.93             5.20
Var20470            Pav20470            4.53             4.80
Var20471            Pav20471            4.44             4.60
Var20474            Pav20474            3.68             3.60
Var20477            Pav20477            4.40             4.00
Var20481            Pav20481            4.04             3.80
Var20487            Pav20487            4.07             4.60
Var20488            Pav20488            4.29             3.60
Var2049             Pav2049             4.13             4.00
Var20493            Pav20493            4.44             4.60
Var20494            Pav20494            2.95             3.00
Var20497            Pav20497            2.65             2.20
Var20498            Pav20498            2.63             3.00
Var205              Pav205              3.28             3.20
Var2050             Pav2050             2.87             2.60
Var20500            Pav20500            4.25             4.20
Var20501            Pav20501            4.25             4.20
Var20502            Pav20502            4.53             4.00
Var20508            Pav20508            2.73             2.60
Var20509            Pav20509            2.81             2.60
Var20510            Pav20510            4.76             5.00
Var20511            Pav20511            2.81             2.60
Var20514            Pav20514            4.97             4.60
Var20519            Pav20519            4.25             4.20
Var20523            Pav20523            2.12             1.80
Var20524            Pav20524            4.20             4.60
Var20528            Pav20528            3.41             3.60
Var20529            Pav20529            3.89             4.00
Var2053             Pav2053             4.84             4.60
Var20531            Pav20531            3.44             3.20
Var20533            Pav20533            3.15             2.80
Var20537            Pav20537            4.35             3.60
Var2054             Pav2054             2.84             3.40
Var20540            Pav20540            4.28             4.20
Var20542            Pav20542            3.96             3.80
Var20543            Pav20543            3.77             3.80
Var20545            Pav20545            3.41             3.60
Var20546            Pav20546            3.00             3.40
Var20547            Pav20547            2.89             3.40
Var20549            Pav20549            3.75             3.80
Var20550            Pav20550            4.93             4.80
Var20551            Pav20551            4.40             4.40
Var20553            Pav20553            4.59             4.00
Var20554            Pav20554            3.47             3.60
Var20558            Pav20558            3.79             4.00
Var20559            Pav20559            3.88             3.40
Var20562            Pav20562            2.81             2.60
Var20563            Pav20563            3.97             3.60
Var20566            Pav20566            4.25             4.20
Var20568            Pav20568            3.63             3.60
Var20569            Pav20569            2.95             3.00
Var2057             Pav2057             4.41             3.80
Var20570            Pav20570            4.53             4.40
Var20573            Pav20573            3.53             3.40
Var20574            Pav20574            2.73             2.60
Var20575            Pav20575            4.48             4.40
Var20577            Pav20577            3.64             3.40
Var20578            Pav20578            4.48             4.80
Var2058             Pav2058             4.77             4.80
Var20582            Pav20582            3.65             3.60
Var20584            Pav20584            3.75             3.40
Var20585            Pav20585            3.72             3.80
Var20588            Pav20588            3.31             3.20
Var20592            Pav20592            4.63             4.20
Var20594            Pav20594            4.19             4.40
Var20596            Pav20596            3.15             2.80
Var20598            Pav20598            3.17             3.20
Var206              Pav206              4.69             4.40
Var20602            Pav20602            3.25             3.60
Var20605            Pav20605            3.64             3.40
Var20607            Pav20607            2.68             2.20
Var20610            Pav20610            3.08             3.00
Var20612            Pav20612            2.81             3.00
Var20616            Pav20616            4.28             4.20
Var20618            Pav20618            3.27             3.40
Var20619            Pav20619            3.33             3.60
Var20620            Pav20620            3.39             3.60
Var20622            Pav20622            2.44             2.60
Var20626            Pav20626            3.13             3.00
Var20627            Pav20627            3.47             2.80
Var20629            Pav20629            3.48             3.40
Var2063             Pav2063             4.20             4.20
Var20632            Pav20632            4.75             5.20
Var20634            Pav20634            2.65             2.60
Var20635            Pav20635            3.65             4.00
Var20639            Pav20639            2.96             2.80
Var2064             Pav2064             4.04             3.80
Var20641            Pav20641            3.01             2.80
Var20642            Pav20642            2.57             2.60
Var20644            Pav20644            4.24             4.00
Var20645            Pav20645            4.77             4.80
Var20646            Pav20646            4.65             5.00
Var2065             Pav2065             3.83             3.40
Var20651            Pav20651            4.92             5.00
Var20653            Pav20653            3.59             3.40
Var20654            Pav20654            2.79             3.00
Var20657            Pav20657            4.43             4.00
Var20658            Pav20658            2.36             2.60
Var20659            Pav20659            4.45             4.40
Var2066             Pav2066             3.65             3.60
Var20660            Pav20660            4.59             4.80
Var20663            Pav20663            4.35             4.40
Var20667            Pav20667            3.01             2.80
Var20668            Pav20668            3.00             3.00
Var20670            Pav20670            3.09             3.20
Var20671            Pav20671            3.03             3.00
Var20673            Pav20673            4.04             4.60
Var20679            Pav20679            2.79             3.00
Var20680            Pav20680            3.04             3.20
Var20682            Pav20682            3.52             3.60
Var20684            Pav20684            4.67             4.80
Var20687            Pav20687            3.91             3.80
Var2069             Pav2069             3.40             3.80
Var20692            Pav20692            4.99             4.80
Var20697            Pav20697            3.24             2.60
Var20698            Pav20698            3.97             4.40
Var2070             Pav2070             3.39             3.60
Var20703            Pav20703            3.63             3.60
Var20706            Pav20706            4.40             4.40
Var20707            Pav20707            4.64             4.80
Var20709            Pav20709            4.31             3.80
Var2071             Pav2071             2.95             3.00
Var20711            Pav20711            2.36             2.20
Var20714            Pav20714            3.68             3.60
Var20715            Pav20715            4.69             4.80
Var20717            Pav20717            3.44             3.60
Var20718            Pav20718            3.19             3.00
Var20719            Pav20719            3.01             2.80
Var2072             Pav2072             3.07             2.80
Var20721            Pav20721            4.55             4.60
Var20723            Pav20723            2.65             2.60
Var20726            Pav20726            2.09             1.80
Var20728            Pav20728            4.35             4.00
Var20739            Pav20739            2.36             2.20
Var2074             Pav2074             4.67             4.40
Var20742            Pav20742            3.64             3.40
Var20748            Pav20748            4.67             4.40
Var20749            Pav20749            3.28             2.80
Var2075             Pav2075             4.51             4.40
Var20750            Pav20750            4.17             3.80
Var20751            Pav20751            4.47             5.00
Var20755            Pav20755            4.85             5.60
Var20757            Pav20757            3.05             3.00
Var20758            Pav20758            3.64             3.40
Var20761            Pav20761            4.43             4.00
Var20762            Pav20762            2.68             2.60
Var20765            Pav20765            2.84             3.00
Var20768            Pav20768            2.92             2.60
Var20770            Pav20770            2.84             3.00
Var20773            Pav20773            3.36             3.60
Var20777            Pav20777            3.07             2.80
Var2078             Pav2078             4.75             4.80
Var20783            Pav20783            3.12             2.40
Var20784            Pav20784            4.29             4.40
Var20791            Pav20791            3.23             3.20
Var20792            Pav20792            2.59             2.00
Var20793            Pav20793            4.43             4.40
Var20796            Pav20796            2.97             3.00
Var20797            Pav20797            2.79             2.60
Var20799            Pav20799            4.89             5.00
Var20800            Pav20800            4.19             4.00
Var20802            Pav20802            4.67             4.40
Var20803            Pav20803            2.71             2.60
Var20804            Pav20804            3.85             4.20
Var20805            Pav20805            4.09             4.20
Var20806            Pav20806            4.56             4.80
Var20810            Pav20810            3.72             3.80
Var20814            Pav20814            4.52             4.60
Var20815            Pav20815            2.71             2.60
Var20819            Pav20819            3.09             2.80
Var20820            Pav20820            3.71             4.40
Var20823            Pav20823            4.56             4.40
Var20827            Pav20827            3.80             3.40
Var20828            Pav20828            3.25             3.20
Var20832            Pav20832            2.33             2.20
Var20833            Pav20833            4.01             4.20
Var20835            Pav20835            4.17             4.60
Var20837            Pav20837            2.76             3.00
Var20839            Pav20839            2.89             3.00
Var20844            Pav20844            4.57             4.20
Var20845            Pav20845            4.37             4.00
Var20847            Pav20847            4.93             5.20
Var20848            Pav20848            4.33             4.60
Var20850            Pav20850            3.91             4.20
Var20851            Pav20851            3.60             3.60
Var20852            Pav20852            4.35             4.00
Var20853            Pav20853            4.84             4.60
Var20854            Pav20854            4.80             4.80
Var20856            Pav20856            2.20             2.20
Var20859            Pav20859            4.95             5.00
Var20860            Pav20860            3.28             3.60
Var20861            Pav20861            4.09             4.60
Var20864            Pav20864            4.51             4.40
Var20869            Pav20869            3.44             3.60
Var20871            Pav20871            3.60             3.60
Var20874            Pav20874            4.12             4.20
Var20877            Pav20877            4.72             4.40
Var2088             Pav2088             3.45             3.80
Var20883            Pav20883            3.96             3.80
Var20893            Pav20893            4.65             4.20
Var20894            Pav20894            3.53             3.80
Var20895            Pav20895            3.05             3.80
Var20896            Pav20896            2.47             2.60
Var20899            Pav20899            3.65             3.60
Var20900            Pav20900            3.57             4.00
Var20902            Pav20902            3.28             3.60
Var20904            Pav20904            3.01             2.80
Var20905            Pav20905            3.72             3.80
Var20906            Pav20906            3.84             3.20
Var20912            Pav20912            4.61             4.80
Var20913            Pav20913            4.39             4.60
Var20916            Pav20916            4.29             4.00
Var20918            Pav20918            4.61             4.80
Var20919            Pav20919            3.11             3.40
Var20920            Pav20920            4.56             4.40
Var20922            Pav20922            3.91             3.80
Var20924            Pav20924            3.03             3.00
Var20929            Pav20929            4.71             4.60
Var2093             Pav2093             3.20             2.80
Var20931            Pav20931            3.11             3.00
Var20932            Pav20932            4.97             5.00
Var20933            Pav20933            4.80             4.80
Var20934            Pav20934            4.69             4.80
Var20937            Pav20937            4.09             4.60
Var20938            Pav20938            3.20             2.80
Var2094             Pav2094             3.48             3.80
Var20940            Pav20940            2.39             1.80
Var20941            Pav20941            4.25             4.20
Var20944            Pav20944            2.76             3.00
Var20945            Pav20945            4.97             5.00
Var20946            Pav20946            2.84             3.00
Var20947            Pav20947            2.81             2.20
Var20948            Pav20948            3.01             3.20
Var20949            Pav20949            3.75             3.80
Var2095             Pav2095             3.55             3.60
Var20952            Pav20952            3.20             3.20
Var20957            Pav20957            4.29             4.00
Var20958            Pav20958            3.44             3.60
Var20960            Pav20960            3.81             4.00
Var20961            Pav20961            2.91             2.40
Var20964            Pav20964            3.00             3.40
Var20966            Pav20966            3.33             3.60
Var2097             Pav2097             4.25             4.20
Var20970            Pav20970            4.31             4.60
Var20974            Pav20974            2.57             3.00
Var20977            Pav20977            3.87             4.00
Var20978            Pav20978            4.64             4.80
Var20983            Pav20983            2.60             2.60
Var20984            Pav20984            2.55             2.20
Var20985            Pav20985            4.85             4.80
Var20986            Pav20986            2.81             3.00
Var20990            Pav20990            4.72             5.20
Var20991            Pav20991            4.71             5.00
Var20992            Pav20992            2.55             2.60
Var20993            Pav20993            4.71             4.60
Var20996            Pav20996            4.01             4.20
Var20997            Pav20997            3.03             3.00
Var21               Pav21               4.95             5.00
Var2100             Pav2100             3.67             3.40
Var21001            Pav21001            4.96             4.80
Var21014            Pav21014            4.32             3.60
Var21015            Pav21015            4.57             4.60
Var21020            Pav21020            4.80             4.80
Var21022            Pav21022            3.41             3.60
Var21024            Pav21024            2.95             2.60
Var21025            Pav21025            3.96             3.80
Var21028            Pav21028            4.95             4.60
Var21029            Pav21029            4.59             4.40
Var2103             Pav2103             3.97             3.20
Var21030            Pav21030            4.27             4.00
Var21032            Pav21032            4.15             3.80
Var21034            Pav21034            2.68             2.20
Var21036            Pav21036            3.28             3.60
Var21037            Pav21037            3.75             3.40
Var21039            Pav21039            4.37             4.40
Var2104             Pav2104             3.84             3.60
Var21044            Pav21044            3.59             3.00
Var21046            Pav21046            3.73             3.60
Var21050            Pav21050            3.44             3.20
Var21052            Pav21052            2.95             2.60
Var21053            Pav21053            3.83             3.80
Var21054            Pav21054            3.61             3.00
Var21057            Pav21057            3.03             2.60
Var21058            Pav21058            3.08             3.40
Var21059            Pav21059            4.23             4.60
Var2106             Pav2106             4.20             4.60
Var21065            Pav21065            4.56             4.80
Var21066            Pav21066            2.75             2.80
Var21068            Pav21068            3.37             3.40
Var21069            Pav21069            3.96             4.60
Var21070            Pav21070            2.95             3.00
Var21073            Pav21073            4.69             4.80
Var21076            Pav21076            4.92             5.40
Var21078            Pav21078            4.45             4.40
Var21079            Pav21079            2.87             2.60
Var21081            Pav21081            4.09             4.20
Var21086            Pav21086            4.52             4.20
Var2109             Pav2109             3.29             3.40
Var21096            Pav21096            2.93             3.20
Var21099            Pav21099            4.09             4.20
Var211              Pav211              4.85             4.80
Var21100            Pav21100            3.99             4.20
Var21103            Pav21103            3.99             3.80
Var21105            Pav21105            3.23             3.20
Var21106            Pav21106            3.60             4.00
Var21109            Pav21109            3.57             3.60
Var21110            Pav21110            4.67             4.80
Var21112            Pav21112            4.61             4.80
Var21113            Pav21113            4.77             5.20
Var21116            Pav21116            2.44             2.20
Var21119            Pav21119            2.52             2.60
Var21120            Pav21120            4.59             4.40
Var21121            Pav21121            4.17             4.60
Var21123            Pav21123            4.31             4.20
Var21128            Pav21128            4.27             4.00
Var21129            Pav21129            3.27             3.80
Var2113             Pav2113             4.03             4.40
Var21131            Pav21131            4.97             5.00
Var21139            Pav21139            4.31             4.60
Var2114             Pav2114             4.63             5.00
Var21140            Pav21140            4.76             5.00
Var21141            Pav21141            2.41             2.60
Var21144            Pav21144            3.05             3.40
Var2115             Pav2115             4.32             4.00
Var21151            Pav21151            3.73             4.80
Var21152            Pav21152            4.07             4.20
Var21155            Pav21155            4.59             4.80
Var21156            Pav21156            3.47             3.60
Var21157            Pav21157            4.48             4.40
Var21158            Pav21158            4.56             4.80
Var21161            Pav21161            3.75             3.40
Var21163            Pav21163            3.17             3.60
Var21166            Pav21166            3.96             4.20
Var2117             Pav2117             4.97             5.40
Var21170            Pav21170            3.43             3.00
Var21171            Pav21171            2.47             2.60
Var21173            Pav21173            3.57             3.60
Var21176            Pav21176            2.71             2.60
Var21179            Pav21179            3.03             3.40
Var2118             Pav2118             3.65             4.00
Var21182            Pav21182            4.91             5.20
Var21189            Pav21189            4.12             3.80
Var2119             Pav2119             4.15             4.20
Var21190            Pav21190            3.23             3.60
Var21191            Pav21191            4.19             4.00
Var21195            Pav21195            3.01             3.20
Var21196            Pav21196            3.15             2.80
Var21198            Pav21198            3.31             3.60
Var2120             Pav2120             4.68             4.60
Var21201            Pav21201            2.87             3.00
Var21202            Pav21202            3.67             3.00
Var21203            Pav21203            4.04             4.20
