Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var21016            Pav21016            6.23             5.80
Var21017            Pav21017            5.35             5.40
Var21018            Pav21018            6.44             6.60
Var21019            Pav21019            6.43             6.40
Var2102             Pav2102             7.33             7.60
Var21021            Pav21021            8.29             8.00
Var21023            Pav21023            7.31             7.60
Var21026            Pav21026            5.00             4.60
Var21027            Pav21027            8.40             8.40
Var21031            Pav21031            5.08             5.00
Var21033            Pav21033            5.60             5.60
Var21035            Pav21035            5.67             5.40
Var21038            Pav21038            7.01             7.20
Var21040            Pav21040            6.48             6.00
Var21041            Pav21041            7.85             8.20
Var21042            Pav21042            6.88             6.80
Var21043            Pav21043            7.51             7.80
Var21045            Pav21045            6.28             6.60
Var21047            Pav21047            8.05             8.00
Var21048            Pav21048            7.59             7.80
Var21049            Pav21049            7.01             6.80
Var2105             Pav2105             7.59             7.80
Var21051            Pav21051            6.11             6.00
Var21055            Pav21055            6.96             7.20
Var21056            Pav21056            7.07             7.20
Var21060            Pav21060            7.77             7.40
Var21061            Pav21061            7.13             7.00
Var21062            Pav21062            7.40             7.00
Var21063            Pav21063            7.80             7.40
Var21064            Pav21064            5.08             5.00
Var21067            Pav21067            5.13             5.40
Var2107             Pav2107             6.69             6.80
Var21071            Pav21071            8.40             8.40
Var21072            Pav21072            6.04             5.80
Var21074            Pav21074            8.03             7.60
Var21075            Pav21075            5.89             5.60
Var21077            Pav21077            8.09             8.20
Var2108             Pav2108             6.69             6.80
Var21080            Pav21080            6.32             6.40
Var21082            Pav21082            6.33             6.20
Var21083            Pav21083            6.52             6.60
Var21084            Pav21084            6.75             6.40
Var21085            Pav21085            8.40             8.40
Var21087            Pav21087            5.79             6.00
Var21088            Pav21088            8.32             8.40
Var21089            Pav21089            5.64             5.80
Var21090            Pav21090            5.17             5.20
Var21091            Pav21091            7.60             8.00
Var21092            Pav21092            8.05             7.60
Var21093            Pav21093            7.67             7.80
Var21094            Pav21094            7.07             7.20
Var21095            Pav21095            5.16             5.00
Var21097            Pav21097            5.73             6.00
Var21098            Pav21098            5.00             5.00
Var2110             Pav2110             7.93             7.80
Var21101            Pav21101            7.39             7.60
Var21102            Pav21102            5.49             5.60
Var21104            Pav21104            6.80             7.20
Var21107            Pav21107            5.19             5.80
Var21108            Pav21108            7.36             7.20
Var2111             Pav2111             6.88             6.80
Var21111            Pav21111            5.19             5.00
Var21114            Pav21114            6.96             6.80
Var21115            Pav21115            5.93             5.80
Var21117            Pav21117            5.87             5.60
Var21118            Pav21118            5.60             5.60
Var2112             Pav2112             7.15             7.20
Var21122            Pav21122            8.72             9.20
Var21124            Pav21124            5.97             6.40
Var21125            Pav21125            8.16             8.40
Var21126            Pav21126            6.96             6.80
Var21127            Pav21127            6.31             6.20
Var21130            Pav21130            8.21             8.00
Var21132            Pav21132            6.72             6.80
Var21133            Pav21133            5.92             6.40
Var21134            Pav21134            8.40             8.80
Var21135            Pav21135            5.29             5.40
Var21136            Pav21136            8.11             8.00
Var21137            Pav21137            6.83             6.80
Var21138            Pav21138            5.08             5.00
Var21142            Pav21142            6.83             7.20
Var21143            Pav21143            5.65             5.60
Var21145            Pav21145            8.16             8.40
Var21146            Pav21146            7.59             7.40
Var21147            Pav21147            6.41             6.60
Var21148            Pav21148            8.32             8.40
Var21149            Pav21149            6.61             6.80
Var21150            Pav21150            6.81             7.00
Var21153            Pav21153            5.56             5.80
Var21154            Pav21154            6.77             6.80
Var21159            Pav21159            6.87             7.00
Var2116             Pav2116             7.35             7.00
Var21160            Pav21160            5.27             5.40
Var21162            Pav21162            6.85             6.40
Var21164            Pav21164            7.69             7.40
Var21165            Pav21165            8.69             8.80
Var21167            Pav21167            6.21             6.80
Var21168            Pav21168            7.81             7.60
Var21169            Pav21169            7.51             7.40
Var21172            Pav21172            7.32             7.40
Var21174            Pav21174            5.79             5.20
Var21175            Pav21175            5.08             5.00
Var21177            Pav21177            7.20             7.20
Var21178            Pav21178            6.77             6.80
Var21180            Pav21180            7.25             7.60
Var21181            Pav21181            7.51             7.40
Var21183            Pav21183            5.52             5.20
Var21184            Pav21184            7.87             7.20
Var21185            Pav21185            5.35             5.40
Var21186            Pav21186            7.96             7.80
Var21187            Pav21187            7.96             7.80
Var21188            Pav21188            7.28             7.20
Var21192            Pav21192            6.49             7.00
Var21193            Pav21193            8.29             8.00
Var21194            Pav21194            5.03             5.00
Var21197            Pav21197            6.25             5.80
Var21199            Pav21199            5.79             5.60
Var212              Pav212              5.35             5.40
Var21200            Pav21200            6.73             7.00
Var21206            Pav21206            5.24             5.40
Var21207            Pav21207            5.48             5.40
Var21208            Pav21208            7.08             7.00
Var2121             Pav2121             8.45             8.40
Var21212            Pav21212            5.92             5.60
Var21213            Pav21213            6.23             6.20
Var21214            Pav21214            7.57             8.00
Var21215            Pav21215            5.63             5.20
Var21216            Pav21216            6.80             6.40
Var21218            Pav21218            5.93             5.80
Var21225            Pav21225            8.11             8.40
Var21227            Pav21227            5.25             5.60
Var21228            Pav21228            5.61             5.40
Var21229            Pav21229            6.20             6.60
Var2123             Pav2123             7.68             8.00
Var21231            Pav21231            6.68             7.00
Var21233            Pav21233            5.91             6.20
Var21234            Pav21234            5.95             6.00
Var21235            Pav21235            5.11             5.00
Var21236            Pav21236            7.61             7.40
Var21237            Pav21237            8.19             8.00
Var2124             Pav2124             5.32             5.40
Var21242            Pav21242            8.27             8.40
Var21245            Pav21245            5.13             5.40
Var21246            Pav21246            5.79             6.00
Var21247            Pav21247            7.83             7.40
Var21248            Pav21248            8.27             8.00
Var2125             Pav2125             5.31             4.80
Var21250            Pav21250            7.33             7.60
Var21251            Pav21251            5.68             5.60
Var21252            Pav21252            8.40             8.80
Var21253            Pav21253            7.40             7.40
Var21254            Pav21254            5.49             5.20
Var21255            Pav21255            7.33             7.60
Var21257            Pav21257            5.57             5.60
Var21258            Pav21258            8.05             8.00
Var2126             Pav2126             6.05             6.00
Var21262            Pav21262            6.99             6.80
Var21263            Pav21263            8.40             8.00
Var21264            Pav21264            5.16             5.40
Var21266            Pav21266            6.60             6.60
Var21268            Pav21268            7.69             7.40
Var21271            Pav21271            7.24             6.60
Var21272            Pav21272            5.95             6.40
Var21274            Pav21274            7.75             7.80
Var21275            Pav21275            8.04             8.20
Var21276            Pav21276            5.13             5.00
Var21277            Pav21277            6.69             6.40
Var21279            Pav21279            6.36             5.80
Var21280            Pav21280            5.32             5.00
Var21283            Pav21283            7.77             7.80
Var21284            Pav21284            5.73             6.00
Var21285            Pav21285            7.84             7.60
Var21288            Pav21288            5.13             5.80
Var21290            Pav21290            7.12             7.20
Var21292            Pav21292            6.73             6.60
Var213              Pav213              6.80             6.80
Var21300            Pav21300            7.61             7.40
Var21302            Pav21302            7.29             7.40
Var21304            Pav21304            6.55             6.60
Var21306            Pav21306            5.52             5.60
Var21310            Pav21310            6.61             6.40
Var21312            Pav21312            8.17             8.60
Var21313            Pav21313            7.92             8.00
Var21316            Pav21316            6.80             6.80
Var21317            Pav21317            8.43             9.20
Var21319            Pav21319            5.51             5.40
Var2132             Pav2132             8.35             8.00
Var21320            Pav21320            5.13             5.00
Var21321            Pav21321            7.33             7.60
Var21322            Pav21322            6.72             6.40
Var21323            Pav21323            5.52             5.20
Var21325            Pav21325            7.72             7.80
Var21326            Pav21326            7.12             7.20
Var21328            Pav21328            5.08             4.60
Var21330            Pav21330            5.73             6.00
Var21331            Pav21331            7.59             7.80
Var21333            Pav21333            7.35             7.00
Var21335            Pav21335            6.29             6.40
Var21336            Pav21336            7.04             6.80
Var2134             Pav2134             5.89             5.60
Var21340            Pav21340            5.65             5.60
Var21341            Pav21341            5.29             5.40
Var21343            Pav21343            5.28             4.80
Var21345            Pav21345            6.67             6.40
Var21347            Pav21347            6.92             7.00
Var21348            Pav21348            5.00             5.00
Var2135             Pav2135             5.41             5.20
Var21350            Pav21350            7.09             7.20
Var21351            Pav21351            6.68             7.00
Var21352            Pav21352            8.27             8.00
Var21353            Pav21353            5.37             5.00
Var21354            Pav21354            5.43             5.40
Var21355            Pav21355            7.25             7.60
Var21356            Pav21356            6.41             6.60
Var21357            Pav21357            7.63             7.20
Var21359            Pav21359            5.55             5.60
Var21360            Pav21360            6.35             6.80
Var21361            Pav21361            7.69             7.80
Var21364            Pav21364            6.41             6.20
Var21366            Pav21366            7.12             7.60
Var21368            Pav21368            6.41             6.20
Var21369            Pav21369            7.88             7.40
Var21371            Pav21371            8.35             8.40
Var21374            Pav21374            7.19             6.60
Var21377            Pav21377            7.75             7.80
Var21379            Pav21379            7.75             7.40
Var2138             Pav2138             7.72             7.80
Var21381            Pav21381            8.21             8.40
Var21383            Pav21383            6.23             5.80
Var21384            Pav21384            8.23             8.20
Var21385            Pav21385            5.51             6.20
Var21387            Pav21387            6.99             7.20
Var21389            Pav21389            6.11             6.40
Var21390            Pav21390            5.41             5.20
Var21391            Pav21391            7.93             8.20
Var21392            Pav21392            6.28             6.60
Var21394            Pav21394            7.01             7.20
Var21395            Pav21395            7.17             7.20
Var21397            Pav21397            5.01             5.20
Var21398            Pav21398            6.73             7.00
Var21399            Pav21399            8.21             8.00
Var2140             Pav2140             5.16             5.00
Var21402            Pav21402            6.83             6.80
Var21403            Pav21403            5.27             5.00
Var21405            Pav21405            7.04             6.80
Var21406            Pav21406            6.20             6.20
Var21407            Pav21407            6.32             6.40
Var21409            Pav21409            7.21             6.60
Var2141             Pav2141             6.41             6.20
Var21411            Pav21411            5.68             5.60
Var21414            Pav21414            7.37             7.00
Var21417            Pav21417            5.13             5.40
Var21418            Pav21418            8.77             8.40
Var2142             Pav2142             5.04             5.20
Var21420            Pav21420            8.24             8.00
Var21421            Pav21421            6.24             6.40
Var21422            Pav21422            6.88             6.40
Var21423            Pav21423            6.56             6.40
Var21427            Pav21427            7.12             7.20
Var21428            Pav21428            7.73             7.60
Var2143             Pav2143             6.75             6.40
Var21430            Pav21430            5.08             5.40
Var21433            Pav21433            7.27             7.00
Var21434            Pav21434            7.53             7.80
Var21436            Pav21436            6.68             7.00
Var21438            Pav21438            6.76             7.00
Var21439            Pav21439            6.03             6.00
Var2144             Pav2144             5.37             5.00
Var21440            Pav21440            5.91             6.60
Var21442            Pav21442            5.83             5.40
Var21443            Pav21443            6.05             6.00
Var21444            Pav21444            5.40             5.80
Var21446            Pav21446            6.55             6.60
Var21447            Pav21447            6.93             7.20
Var21448            Pav21448            6.81             7.00
Var21449            Pav21449            5.95             6.00
Var2145             Pav2145             5.24             5.00
Var21451            Pav21451            5.11             5.00
Var21454            Pav21454            7.75             7.80
Var21456            Pav21456            8.48             8.40
Var21458            Pav21458            6.95             7.00
Var21459            Pav21459            8.69             9.20
Var2146             Pav2146             7.72             7.80
Var21460            Pav21460            6.20             6.60
Var21462            Pav21462            5.09             4.80
Var21463            Pav21463            5.89             5.60
Var21465            Pav21465            6.68             7.00
Var21468            Pav21468            7.25             8.00
Var21470            Pav21470            6.63             7.00
Var21473            Pav21473            5.48             5.40
Var21474            Pav21474            7.01             6.80
Var21475            Pav21475            7.47             7.60
Var21477            Pav21477            7.64             7.80
Var21478            Pav21478            5.11             5.00
Var21479            Pav21479            8.08             8.00
Var2148             Pav2148             5.28             5.20
Var21480            Pav21480            8.21             8.00
Var21482            Pav21482            7.01             7.20
Var21483            Pav21483            8.48             8.80
Var21484            Pav21484            6.75             6.40
Var21486            Pav21486            5.88             5.80
Var21488            Pav21488            7.20             7.20
Var21489            Pav21489            6.84             7.00
Var21490            Pav21490            6.33             6.20
Var21491            Pav21491            6.55             7.00
Var21492            Pav21492            5.79             5.20
Var21493            Pav21493            7.37             7.40
Var21496            Pav21496            7.87             8.00
Var21498            Pav21498            5.65             5.60
Var21500            Pav21500            5.40             5.40
Var21501            Pav21501            6.88             6.80
Var21502            Pav21502            5.84             5.60
Var21503            Pav21503            6.48             6.40
Var21505            Pav21505            7.83             7.80
Var21506            Pav21506            5.49             5.20
Var21507            Pav21507            8.05             7.60
Var21509            Pav21509            5.27             5.40
Var2151             Pav2151             8.43             8.80
Var21511            Pav21511            6.68             7.00
Var21512            Pav21512            8.61             8.80
Var21513            Pav21513            7.55             7.60
Var21514            Pav21514            7.56             7.40
Var21515            Pav21515            5.80             6.20
Var21517            Pav21517            7.39             7.60
Var21519            Pav21519            5.41             5.60
Var2152             Pav2152             6.55             7.00
Var21522            Pav21522            6.80             6.80
Var21523            Pav21523            7.33             7.60
Var21524            Pav21524            6.64             6.40
Var21525            Pav21525            5.00             5.00
Var21526            Pav21526            7.37             7.40
Var21531            Pav21531            6.15             5.80
Var21532            Pav21532            8.43             8.80
Var21533            Pav21533            5.35             5.00
Var21535            Pav21535            8.27             8.00
Var2154             Pav2154             7.67             7.40
Var21540            Pav21540            7.25             7.20
Var21541            Pav21541            5.03             5.00
Var21542            Pav21542            6.57             6.20
Var21543            Pav21543            6.33             6.20
Var21544            Pav21544            8.01             8.20
Var21545            Pav21545            5.76             6.00
Var21546            Pav21546            6.19             6.00
Var21547            Pav21547            5.32             5.00
Var21548            Pav21548            6.83             6.40
Var21549            Pav21549            6.33             6.20
Var2155             Pav2155             6.12             5.80
Var21551            Pav21551            5.39             5.20
Var21557            Pav21557            5.79             5.60
Var21559            Pav21559            7.24             7.00
Var21560            Pav21560            5.99             5.80
Var21566            Pav21566            5.27             5.40
Var21567            Pav21567            5.92             6.00
Var21568            Pav21568            5.21             5.40
Var2157             Pav2157             7.49             7.20
Var21570            Pav21570            5.76             6.00
Var21572            Pav21572            8.29             8.40
Var21573            Pav21573            7.37             7.40
Var21574            Pav21574            7.53             7.40
Var21579            Pav21579            7.77             7.80
Var21580            Pav21580            8.64             8.80
Var21582            Pav21582            7.79             7.60
Var21583            Pav21583            8.29             8.40
Var21584            Pav21584            7.31             7.60
Var21585            Pav21585            6.15             5.80
Var21586            Pav21586            7.04             7.20
Var21588            Pav21588            5.31             4.80
Var21590            Pav21590            8.29             8.40
Var21591            Pav21591            7.20             7.20
Var21592            Pav21592            5.16             5.00
Var21593            Pav21593            7.97             8.00
Var21596            Pav21596            5.08             5.00
Var21598            Pav21598            5.00             5.00
Var21599            Pav21599            5.84             6.40
Var216              Pav216              7.25             7.20
Var2160             Pav2160             5.21             5.80
Var21603            Pav21603            5.57             5.60
Var21605            Pav21605            5.43             5.40
Var21606            Pav21606            6.49             7.00
Var21608            Pav21608            7.87             7.60
Var2161             Pav2161             6.51             6.40
Var21610            Pav21610            6.52             6.60
Var21614            Pav21614            7.83             8.20
Var21615            Pav21615            6.39             6.60
Var21616            Pav21616            7.72             7.80
Var21617            Pav21617            8.45             8.40
Var21619            Pav21619            6.28             6.20
Var2162             Pav2162             5.03             5.00
Var21620            Pav21620            6.39             6.20
Var21621            Pav21621            7.44             7.20
Var21622            Pav21622            5.33             4.80
Var21623            Pav21623            5.76             6.00
Var21624            Pav21624            6.96             7.20
Var21625            Pav21625            7.61             7.80
Var21626            Pav21626            7.44             7.60
Var21627            Pav21627            5.45             5.80
Var2163             Pav2163             7.29             7.80
Var21630            Pav21630            8.00             8.00
Var21631            Pav21631            5.87             5.60
Var21632            Pav21632            6.19             6.00
Var21633            Pav21633            6.60             7.00
Var21634            Pav21634            6.47             7.00
Var21637            Pav21637            6.55             6.60
Var21638            Pav21638            5.89             6.00
Var21639            Pav21639            8.40             8.40
Var2164             Pav2164             5.52             5.60
Var21640            Pav21640            7.04             7.20
Var21643            Pav21643            7.04             7.20
Var21646            Pav21646            7.24             6.60
Var21649            Pav21649            8.45             9.20
Var21650            Pav21650            7.60             8.00
Var21651            Pav21651            6.08             6.00
Var21652            Pav21652            6.63             7.00
Var21655            Pav21655            8.29             8.40
Var21657            Pav21657            7.20             7.60
Var21658            Pav21658            7.75             7.40
Var21659            Pav21659            7.69             8.60
Var21660            Pav21660            8.48             8.40
Var21662            Pav21662            6.47             6.60
Var21663            Pav21663            7.43             7.40
Var21664            Pav21664            7.52             7.60
Var21665            Pav21665            5.27             5.80
Var21667            Pav21667            5.89             6.00
Var21670            Pav21670            7.73             8.00
Var21671            Pav21671            6.55             6.20
Var21672            Pav21672            8.27             8.80
Var21675            Pav21675            5.19             5.40
Var21676            Pav21676            6.64             6.40
Var21677            Pav21677            7.07             7.20
Var21679            Pav21679            7.45             7.40
Var2168             Pav2168             7.64             7.80
Var21680            Pav21680            8.32             8.40
Var21681            Pav21681            5.40             5.40
Var21683            Pav21683            6.05             6.40
Var21684            Pav21684            6.09             5.80
Var21685            Pav21685            8.40             8.40
Var21686            Pav21686            5.49             5.60
Var21689            Pav21689            5.40             5.00
Var21690            Pav21690            6.55             6.60
Var21691            Pav21691            6.76             6.60
Var21693            Pav21693            7.69             7.00
Var21694            Pav21694            5.44             5.20
Var21696            Pav21696            6.67             6.00
Var21697            Pav21697            7.64             7.40
Var21698            Pav21698            5.49             5.20
Var21699            Pav21699            6.53             6.00
Var2170             Pav2170             6.28             6.20
Var21700            Pav21700            6.28             5.80
Var21701            Pav21701            7.07             6.80
Var21704            Pav21704            8.00             7.60
Var21705            Pav21705            5.60             5.60
Var21707            Pav21707            7.91             7.80
Var21708            Pav21708            6.69             6.80
Var2171             Pav2171             5.68             5.20
Var21711            Pav21711            6.99             7.20
Var21712            Pav21712            5.99             6.20
Var21714            Pav21714            5.32             5.00
Var21715            Pav21715            5.95             6.00
Var21717            Pav21717            6.27             6.40
Var21718            Pav21718            8.85             8.80
Var2172             Pav2172             8.27             8.00
Var21720            Pav21720            6.41             6.60
Var21721            Pav21721            6.55             7.00
Var21723            Pav21723            7.28             7.20
Var21724            Pav21724            5.87             6.00
Var21725            Pav21725            5.43             5.40
Var21726            Pav21726            6.51             6.40
Var21729            Pav21729            8.32             8.40
Var2173             Pav2173             5.87             6.00
Var21731            Pav21731            7.07             6.80
Var21733            Pav21733            8.21             8.00
Var21736            Pav21736            6.36             6.60
Var21739            Pav21739            6.87             7.40
Var21740            Pav21740            5.52             5.60
Var21742            Pav21742            5.05             4.60
Var21743            Pav21743            5.25             4.80
Var21745            Pav21745            8.13             8.00
Var21748            Pav21748            6.13             6.00
Var21749            Pav21749            5.11             5.40
Var21753            Pav21753            7.35             7.00
Var21754            Pav21754            7.35             7.00
Var21756            Pav21756            5.88             6.20
Var21757            Pav21757            7.43             7.40
Var21759            Pav21759            5.29             5.00
Var2176             Pav2176             6.52             6.60
Var21760            Pav21760            8.29             9.20
Var21761            Pav21761            5.00             5.00
Var21762            Pav21762            6.59             6.00
Var21763            Pav21763            7.99             8.20
Var21764            Pav21764            6.77             6.80
Var21769            Pav21769            6.33             6.20
Var21770            Pav21770            8.24             7.60
Var21771            Pav21771            5.36             5.20
Var21772            Pav21772            6.65             7.00
Var21773            Pav21773            6.80             6.80
Var21774            Pav21774            7.56             7.80
Var21775            Pav21775            8.35             8.40
Var21776            Pav21776            5.68             5.60
Var21780            Pav21780            8.53             8.00
Var21781            Pav21781            6.04             5.80
Var21782            Pav21782            5.71             5.60
Var21783            Pav21783            7.27             7.00
Var21785            Pav21785            7.23             7.60
Var21788            Pav21788            5.59             5.00
Var21792            Pav21792            5.61             5.40
Var21793            Pav21793            8.37             8.80
Var21796            Pav21796            8.41             9.00
Var21797            Pav21797            8.16             8.40
Var21799            Pav21799            8.43             8.40
Var2180             Pav2180             8.05             8.00
Var21800            Pav21800            5.24             5.00
Var21802            Pav21802            7.87             8.00
Var21803            Pav21803            8.39             8.60
Var21805            Pav21805            7.24             7.00
Var21807            Pav21807            5.79             5.60
Var21808            Pav21808            5.47             5.20
Var21811            Pav21811            7.04             6.80
Var21815            Pav21815            7.84             8.40
Var21816            Pav21816            5.51             5.00
Var21817            Pav21817            6.44             6.60
Var21818            Pav21818            6.17             6.20
Var21819            Pav21819            5.55             5.60
Var2182             Pav2182             6.88             6.80
Var21820            Pav21820            6.27             6.00
Var21822            Pav21822            6.48             6.80
Var21824            Pav21824            8.35             8.40
Var21825            Pav21825            8.40             8.40
Var21828            Pav21828            5.24             5.40
Var21829            Pav21829            6.12             5.80
Var2183             Pav2183             5.29             5.00
Var21830            Pav21830            5.67             5.80
Var21831            Pav21831            6.41             6.20
Var21834            Pav21834            6.28             5.80
Var21835            Pav21835            5.72             5.40
Var21836            Pav21836            6.01             5.80
Var21837            Pav21837            7.15             7.20
Var21842            Pav21842            5.45             6.20
Var21843            Pav21843            7.57             7.60
Var21844            Pav21844            6.80             6.80
Var21846            Pav21846            5.57             5.20
Var21847            Pav21847            7.43             7.80
Var21848            Pav21848            6.25             6.20
Var21849            Pav21849            7.57             8.00
Var21850            Pav21850            5.05             5.00
Var21851            Pav21851            6.63             6.60
Var21852            Pav21852            6.00             6.00
Var21854            Pav21854            6.96             6.80
Var21855            Pav21855            7.27             7.00
Var21857            Pav21857            6.25             6.20
Var21858            Pav21858            6.80             6.80
Var21859            Pav21859            8.03             8.00
Var2186             Pav2186             7.81             8.00
Var21860            Pav21860            7.27             7.80
Var21861            Pav21861            5.95             5.60
Var21864            Pav21864            8.16             8.00
Var21865            Pav21865            8.20             8.60
Var21866            Pav21866            7.24             6.60
Var21868            Pav21868            7.61             7.40
Var21869            Pav21869            5.59             5.40
Var2187             Pav2187             6.08             5.60
Var21870            Pav21870            7.09             7.20
Var21871            Pav21871            7.61             7.80
Var21872            Pav21872            5.75             5.80
Var21874            Pav21874            5.92             6.00
Var21875            Pav21875            7.83             8.20
Var21876            Pav21876            5.68             5.60
Var21879            Pav21879            7.93             8.20
Var21880            Pav21880            6.53             6.00
Var21884            Pav21884            7.67             7.80
Var21886            Pav21886            8.72             8.80
Var21888            Pav21888            6.67             6.40
Var21891            Pav21891            6.67             6.00
Var21894            Pav21894            5.17             5.20
Var21895            Pav21895            5.71             5.60
Var21897            Pav21897            7.79             7.60
Var21898            Pav21898            6.80             6.80
Var21899            Pav21899            7.87             7.20
Var219              Pav219              7.79             7.60
Var2190             Pav2190             5.97             6.00
Var21900            Pav21900            8.24             8.40
Var21903            Pav21903            6.75             6.40
Var21905            Pav21905            6.37             6.40
Var21906            Pav21906            7.29             7.40
Var21910            Pav21910            6.61             6.80
Var21911            Pav21911            6.91             6.80
Var21913            Pav21913            7.36             7.20
Var21914            Pav21914            5.63             5.60
Var21915            Pav21915            7.01             6.80
Var21916            Pav21916            6.31             6.20
Var21919            Pav21919            7.92             8.00
Var2192             Pav2192             6.00             6.00
Var21921            Pav21921            6.23             6.60
Var21922            Pav21922            5.63             5.20
Var21923            Pav21923            8.09             8.20
Var21924            Pav21924            5.76             5.60
Var21926            Pav21926            6.88             6.80
Var21927            Pav21927            6.31             6.20
Var21928            Pav21928            5.15             4.40
Var21929            Pav21929            6.71             7.00
Var21930            Pav21930            6.16             6.40
Var21932            Pav21932            7.56             7.40
Var21934            Pav21934            5.31             5.20
Var21936            Pav21936            8.37             8.00
Var21938            Pav21938            5.03             5.40
Var2194             Pav2194             5.27             5.40
Var21940            Pav21940            5.57             5.20
Var21948            Pav21948            6.79             7.00
Var21949            Pav21949            6.47             6.20
Var2195             Pav2195             5.25             5.60
Var21953            Pav21953            6.68             6.60
Var21954            Pav21954            5.87             6.40
Var21956            Pav21956            5.29             5.40
Var21958            Pav21958            5.59             5.80
Var21959            Pav21959            7.44             8.00
Var21960            Pav21960            7.95             7.60
Var21961            Pav21961            5.23             5.20
Var21963            Pav21963            5.92             6.40
Var21965            Pav21965            6.55             6.60
Var21969            Pav21969            5.55             5.20
Var21970            Pav21970            5.63             5.60
Var21971            Pav21971            7.36             7.60
Var21972            Pav21972            7.31             7.20
Var21973            Pav21973            6.03             6.00
Var21981            Pav21981            5.96             5.80
Var21984            Pav21984            7.17             7.20
Var21988            Pav21988            8.19             8.00
Var2199             Pav2199             6.07             6.20
Var21993            Pav21993            7.63             7.20
Var21994            Pav21994            8.11             8.00
Var21995            Pav21995            5.97             5.60
Var21996            Pav21996            6.61             6.40
Var21997            Pav21997            6.25             6.20
Var21998            Pav21998            7.61             7.40
Var21999            Pav21999            5.29             5.40
Var22               Pav22               7.39             7.60
Var220              Pav220              8.19             8.00
Var2200             Pav2200             7.16             6.60
Var22000            Pav22000            7.48             7.00
Var22001            Pav22001            8.03             8.40
Var22004            Pav22004            6.73             7.00
Var22007            Pav22007            8.16             8.00
Var22009            Pav22009            6.41             6.60
Var22010            Pav22010            5.60             5.60
Var22011            Pav22011            6.12             6.60
Var22012            Pav22012            8.40             8.40
Var22014            Pav22014            7.76             8.40
Var22015            Pav22015            5.97             6.00
Var22017            Pav22017            7.75             7.80
Var2202             Pav2202             7.77             8.20
Var22022            Pav22022            7.64             7.80
Var22028            Pav22028            6.79             6.60
Var22029            Pav22029            6.55             6.60
Var2203             Pav2203             6.76             7.00
Var22030            Pav22030            5.16             5.00
Var22031            Pav22031            6.84             7.40
Var22032            Pav22032            6.95             7.00
Var22033            Pav22033            5.97             6.00
Var22036            Pav22036            5.51             5.80
Var22039            Pav22039            5.89             5.60
Var2204             Pav2204             7.76             8.00
Var22040            Pav22040            7.25             7.20
Var22041            Pav22041            7.35             7.00
Var22042            Pav22042            6.88             7.20
Var22045            Pav22045            5.01             5.20
Var22048            Pav22048            5.76             6.00
Var22049            Pav22049            5.81             5.60
Var2205             Pav2205             6.63             6.60
Var22050            Pav22050            7.67             7.40
Var22052            Pav22052            7.75             7.80
Var22054            Pav22054            5.81             5.60
Var22056            Pav22056            6.53             6.80
Var22057            Pav22057            6.44             6.60
Var22060            Pav22060            5.77             6.20
Var22061            Pav22061            5.04             4.80
Var22062            Pav22062            5.79             6.00
Var22063            Pav22063            6.23             6.20
Var22064            Pav22064            5.19             5.00
Var22066            Pav22066            7.57             8.40
Var22068            Pav22068            8.21             8.40
Var22070            Pav22070            5.76             5.60
Var22071            Pav22071            6.61             6.00
Var22072            Pav22072            6.05             6.00
Var22073            Pav22073            6.41             6.60
Var22074            Pav22074            8.16             8.40
Var22076            Pav22076            5.24             5.40
Var22077            Pav22077            5.32             5.40
Var22078            Pav22078            6.88             6.80
Var22081            Pav22081            6.52             6.60
Var22083            Pav22083            5.47             5.60
Var22086            Pav22086            7.73             7.20
Var22088            Pav22088            6.77             6.40
Var22089            Pav22089            7.73             7.60
Var2209             Pav2209             5.53             5.80
Var22090            Pav22090            5.53             5.40
Var22092            Pav22092            7.20             7.20
Var22093            Pav22093            7.67             7.80
Var22094            Pav22094            5.51             5.80
Var22096            Pav22096            7.67             7.40
Var22099            Pav22099            7.52             8.00
Var221              Pav221              6.73             7.00
Var22100            Pav22100            6.33             6.60
Var22101            Pav22101            8.19             8.40
Var22103            Pav22103            5.92             6.00
Var22104            Pav22104            6.51             6.00
Var22106            Pav22106            6.49             7.00
Var22109            Pav22109            7.81             7.20
Var22110            Pav22110            7.03             7.00
Var22114            Pav22114            8.43             8.40
Var22115            Pav22115            8.85             8.80
Var22116            Pav22116            7.40             7.00
Var22119            Pav22119            7.64             7.80
Var22121            Pav22121            6.11             6.40
Var22122            Pav22122            6.20             5.80
Var22123            Pav22123            6.39             6.20
Var22125            Pav22125            5.57             5.20
Var22126            Pav22126            5.44             5.60
Var22128            Pav22128            7.20             7.20
Var22129            Pav22129            5.19             5.00
Var2213             Pav2213             7.89             7.60
Var22130            Pav22130            6.39             6.20
Var22133            Pav22133            7.12             7.20
Var22138            Pav22138            8.27             8.40
Var22139            Pav22139            8.05             8.00
Var2214             Pav2214             6.15             6.20
Var22140            Pav22140            6.36             6.60
Var22141            Pav22141            7.80             8.20
